titleId,ordering,title,region,language,types,attributes,isOriginalTitle
tt0000005,9,Schmiedszene,DE,\N,\N,literal title,0
tt0000006,1,Chinese Opium Den,\N,\N,original,\N,1
tt0000006,2,Chinese Opium Den,US,\N,imdbDisplay,\N,0
tt0000006,3,Chinesische Opiumhöhle,DE,\N,\N,literal title,0
tt0000006,4,Chinezes Fumadores de Ópio,PT,\N,\N,promotional title,0
tt0000006,5,Kínai ópiumbarlang,HU,\N,imdbDisplay,\N,0
tt0000006,6,Китайский опиумный притон,RU,\N,imdbDisplay,\N,0
tt0000007,1,Corbett and Courtney Before the Kinetograph,\N,\N,original,\N,1
tt0000007,10,キネトグラフの前のコーベットとコートニー,JP,ja,imdbDisplay,\N,0
tt0000007,2,A Corbett-Courtney bokszmeccs,HU,\N,imdbDisplay,\N,0
tt0000007,3,Corbett and Courtney Before the Kinetograph,US,\N,imdbDisplay,\N,0
tt0000007,4,Corbett und Courtney vor dem Kinetographen,DE,\N,\N,literal title,0
tt0000007,5,Edison Kinetoscopic Record of Boxers,\N,\N,\N,\N,0
tt0000007,6,Jim Corbett vs. Peter Courtney,US,\N,alternative,\N,0
tt0000007,7,The Corbett-Courtney Fight,US,\N,alternative,\N,0
tt0000007,8,Корбетт и Кортни перед кинематографом,RU,\N,imdbDisplay,\N,0
tt0000007,9,Корбетт та Кортні перед кінематографом,UA,\N,imdbDisplay,\N,0
tt0000008,1,Edison Kinetoscopic Record of a Sneeze,\N,\N,original,\N,1
tt0000008,10,Чхання Фреда Отта,UA,\N,imdbDisplay,\N,0
tt0000008,11,フレッド・オット－のくしゃみ,JP,ja,imdbDisplay,\N,0
tt0000008,2,Edison asszisztense tüsszent,HU,\N,imdbDisplay,\N,0
tt0000008,3,Edison Kinetoscopic Record of a Sneeze,US,\N,imdbDisplay,\N,0
tt0000008,4,"Edison Kinetoscopic Record of a Sneeze, January 7, 1894",US,\N,\N,complete title,0
tt0000008,5,Edison kinetoskopische Aufnahme eines Niesens,DE,\N,\N,literal title,0
tt0000008,6,Fred Ott's Sneeze,\N,\N,\N,\N,0
tt0000008,7,Fred Otts Niesen,DE,\N,\N,literal title,0
tt0000008,8,The Films of Thomas A Edison presented by Raymond Rohauer,US,\N,\N,reissue title,0
tt0000008,9,"Чих, записанный на кинетоскоп Эдисона",RU,\N,imdbDisplay,\N,0
tt0000009,1,Miss Jerry,\N,\N,original,\N,1
tt0000009,2,Miss Jerry,AU,\N,imdbDisplay,\N,0
tt0000009,3,Miss Jerry,HU,\N,imdbDisplay,\N,0
tt0000009,4,Miss Jerry,US,\N,imdbDisplay,\N,0
tt0000009,5,Fräulein Jerry,DE,\N,\N,literal title,0
tt0000010,1,La sortie de l'usine Lumière à Lyon,\N,\N,original,\N,1
tt0000010,10,La salida de los obreros de la fábrica Lumière,AR,\N,\N,\N,0
tt0000010,11,La sortie de l'usine Lumière,FR,\N,alternative,\N,0
tt0000010,12,La sortie des ouvriers de l'usine Lumière,FR,\N,\N,informal alternative title,0
tt0000010,13,La sortie des usines Lumière,FR,\N,alternative,\N,0
tt0000010,14,Leaving the Factory,US,\N,imdbDisplay,\N,0
tt0000010,15,Lumière-fabrikens arbetare,FI,sv,\N,informal title,0
tt0000010,16,Munkások elhagyják a lyoni Lumiére-gyárat,HU,\N,imdbDisplay,\N,0
tt0000010,17,Salida de obreros de la fábrica Lumiere,UY,\N,\N,premiere title,0
tt0000010,18,Sortie d'usine,FR,\N,\N,short title,0
tt0000010,19,Työntekijät poistuvat Lumière-tehtaalta,FI,\N,\N,informal title,0
tt0000010,2,La sortie de l'usine Lumière à Lyon,CA,en,imdbDisplay,\N,0
tt0000010,20,Workers Leaving the Lumière Factory,US,\N,imdbDisplay,\N,0
tt0000010,21,Wyjście robotników z fabryki,PL,\N,imdbDisplay,\N,0
tt0000010,22,Вихід робітників із фабрики,UA,\N,imdbDisplay,\N,0
tt0000010,23,Выход рабочих с фабрики 'Люмьер',RU,\N,imdbDisplay,\N,0
tt0000010,24,Радници напуштају фабрику Лимијер,RS,\N,imdbDisplay,\N,0
tt0000010,25,工場の出口,JP,ja,imdbDisplay,\N,0
tt0000010,3,La sortie de l'usine Lumière à Lyon,FR,\N,imdbDisplay,\N,0
tt0000010,4,A Saída dos Operários da Fábrica Lumière,BR,\N,\N,\N,0
tt0000010,5,Arbeiter verlassen die Lumière-Werke,DE,\N,imdbDisplay,\N,0
tt0000010,6,Employees Leaving the Lumière Factory,US,\N,alternative,\N,0
tt0000010,7,Exiting the Factory,US,\N,imdbDisplay,\N,0
